iter	RMSE
0	14.68822038
1	14.33007846
2	13.94980629
3	13.60355048
4	13.28293325
5	13.00088131
6	12.71795594
7	12.45051524
8	12.1957796
9	11.91426927
10	11.64481299
11	11.4087676
12	11.17021209
13	10.94145291
14	10.71336576
15	10.48240315
16	10.26354427
17	10.07361591
18	9.866314649
19	9.682040147
20	9.533598768
21	9.383114116
22	9.212925314
23	9.051760198
24	8.894252989
25	8.769478612
26	8.630501744
27	8.50428671
28	8.375629636
29	8.256936905
30	8.147835161
31	8.021115896
32	7.918517921
33	7.819279462
34	7.709387699
35	7.609513786
36	7.510726463
37	7.436869099
38	7.349040728
39	7.26748136
40	7.193509372
41	7.136557803
42	7.055352596
43	6.997222885
44	6.932234546
45	6.860444026
46	6.788045769
47	6.730123907
48	6.665848198
49	6.615094237
50	6.562385106
51	6.502790296
52	6.453720393
53	6.404956261
54	6.358088104
55	6.315315876
56	6.276391952
57	6.238679567
58	6.204192798
59	6.169854093
60	6.136346415
61	6.105559856
62	6.071745948
63	6.035847747
64	6.004729368
65	5.971955475
66	5.941228031
67	5.91456733
68	5.893048761
69	5.867068166
70	5.8375945
71	5.817234221
72	5.79724893
73	5.772684339
74	5.752940634
75	5.730802952
76	5.711655732
77	5.689654788
78	5.673392018
79	5.654111891
80	5.637443665
81	5.620786718
82	5.602131134
83	5.587070498
84	5.57335831
85	5.555611658
86	5.537685377
87	5.526935201
88	5.513201808
89	5.498488237
90	5.484303073
91	5.473805887
92	5.459521974
93	5.452001728
94	5.441969443
95	5.429556759
96	5.418289155
97	5.407453396
98	5.398775914
99	5.389115844
100	5.378972378
101	5.367570018
102	5.358045466
103	5.346901089
104	5.336545104
105	5.331723866
106	5.323672395
107	5.316765867
108	5.311468857
109	5.302739461
110	5.301126283
111	5.29112721
112	5.281544075
113	5.274408676
114	5.269330847
115	5.264819665
116	5.259045356
117	5.253180146
118	5.248543525
119	5.244210106
120	5.240134276
121	5.232843234
122	5.226983763
123	5.221872356
124	5.21431402
125	5.207243992
126	5.201314669
127	5.196356163
128	5.188033603
129	5.181695634
130	5.173571038
131	5.168128445
132	5.161022052
133	5.15596205
134	5.150075007
135	5.145946901
136	5.139262233
137	5.133954419
138	5.130497548
139	5.126599656
140	5.121054228
141	5.115291484
142	5.107446094
143	5.095414733
144	5.090399055
145	5.08545244
146	5.081300239
147	5.078367301
148	5.071729391
149	5.067695114
150	5.06428607
151	5.059962555
152	5.053512321
153	5.048181609
154	5.043290402
155	5.035785217
156	5.031991285
157	5.024982682
158	5.022703259
159	5.015658906
160	5.014516282
161	5.011830435
162	5.008292415
163	5.002812562
164	4.997942744
165	4.993228796
166	4.990861379
167	4.985256584
168	4.980094949
169	4.97684317
170	4.970185371
171	4.963523461
172	4.959274651
173	4.953365469
174	4.950577698
175	4.943367991
176	4.941909258
177	4.937286091
178	4.932371585
179	4.930749168
180	4.92716026
181	4.924768817
182	4.919170259
183	4.916244803
184	4.913103884
185	4.911044034
186	4.908353242
187	4.904051479
188	4.899150599
189	4.894595853
190	4.890121476
191	4.887546334
192	4.884395593
193	4.879629834
