iter	Passed	Remaining
0	49	49019
1	49	24933
2	50	16764
3	50	12660
4	51	10198
5	51	8552
6	52	7377
7	52	6497
8	52	5811
9	53	5263
10	53	4813
11	53	4439
12	54	4123
13	54	3851
14	55	3615
15	55	3411
16	55	3230
17	56	3073
18	56	2935
19	57	2808
20	57	2699
21	58	2605
22	59	2512
23	59	2426
24	60	2346
25	60	2273
26	61	2207
27	61	2145
28	62	2086
29	62	2036
30	63	1985
31	64	1936
32	64	1891
33	65	1848
34	66	1830
35	67	1800
36	68	1772
37	68	1738
38	70	1737
39	71	1710
40	73	1709
41	73	1680
42	74	1653
43	75	1645
44	77	1644
45	78	1631
46	79	1605
47	79	1581
48	80	1559
49	81	1554
50	83	1544
51	83	1523
52	84	1502
53	84	1482
54	85	1463
55	85	1446
56	86	1431
57	87	1414
58	87	1398
59	88	1382
60	88	1367
61	89	1353
62	90	1338
63	90	1323
64	91	1311
65	91	1301
66	92	1288
67	93	1274
68	93	1262
69	94	1249
70	94	1237
71	95	1225
72	95	1213
73	96	1202
74	96	1191
75	97	1180
76	97	1169
77	98	1158
78	98	1148
79	98	1138
80	99	1130
81	100	1123
82	101	1116
83	101	1108
84	102	1099
85	102	1091
86	103	1082
87	103	1074
88	104	1066
89	104	1060
90	105	1052
91	105	1045
92	106	1037
93	106	1028
94	107	1022
95	108	1021
96	109	1015
97	109	1009
98	110	1007
99	111	1005
100	112	999
101	112	993
102	113	987
103	113	982
104	114	977
105	115	971
106	116	968
107	116	965
108	117	959
109	118	956
110	118	948
111	118	943
112	119	938
113	120	933
114	120	928
115	121	923
116	121	919
117	122	914
118	122	907
119	123	905
120	123	900
121	124	897
122	126	899
123	126	895
124	127	891
125	127	887
126	128	883
127	129	879
128	129	874
129	130	871
130	130	867
131	131	863
132	131	859
133	132	856
134	133	852
135	133	848
136	134	844
137	134	840
138	135	837
139	135	834
140	136	831
141	137	827
142	137	824
143	138	821
144	138	817
145	139	814
146	139	810
147	140	807
148	140	804
149	141	800
150	142	798
151	142	797
152	143	793
153	143	790
154	144	787
155	144	784
156	145	781
157	146	778
158	146	776
159	147	774
160	147	770
161	148	767
162	148	764
163	149	761
164	150	760
165	150	757
166	151	754
167	151	751
168	152	749
169	152	746
170	153	745
171	154	745
172	155	742
173	157	746
174	157	743
175	158	741
176	158	738
177	159	735
178	159	732
179	160	729
180	160	726
181	161	724
182	161	722
183	162	721
184	163	719
185	163	716
186	164	714
187	164	711
188	165	708
189	165	706
190	166	704
191	166	701
192	167	699
193	167	696
194	168	694
195	168	692
196	169	689
197	169	687
198	170	685
199	170	682
200	171	680
201	171	678
202	172	675
203	172	673
204	173	671
205	173	669
206	174	667
207	174	665
208	175	663
209	175	660
210	176	658
211	176	656
212	177	654
213	177	652
214	178	650
215	178	648
216	179	646
217	179	645
218	180	644
219	181	643
220	181	641
221	182	639
222	182	637
223	183	635
224	184	633
225	184	632
226	185	630
227	185	628
228	186	626
229	186	624
230	187	622
231	187	620
232	188	619
233	188	617
234	188	615
235	189	613
236	189	611
237	190	609
238	190	607
239	191	605
240	191	603
241	192	602
242	192	600
243	193	598
244	193	596
245	194	595
246	194	593
247	195	591
248	195	590
249	196	588
250	197	589
251	198	588
252	198	587
253	199	585
254	200	584
255	200	582
256	201	581
257	201	579
258	202	578
259	202	576
260	203	575
261	203	573
262	204	571
263	204	570
264	205	568
265	205	567
266	206	565
267	206	564
268	207	562
269	207	560
270	207	559
271	208	558
272	209	556
273	209	555
274	210	553
275	211	553
276	211	552
277	212	550
278	212	549
279	212	547
280	213	545
281	213	544
282	214	542
283	214	540
284	214	539
285	215	537
286	215	535
287	215	533
288	216	532
289	216	530
290	217	529
291	217	527
292	218	526
293	218	524
294	218	522
295	219	521
296	219	520
297	220	518
298	220	517
299	220	515
300	221	514
301	221	512
302	222	511
303	222	509
304	223	508
305	223	507
306	224	506
307	224	504
308	225	503
309	225	502
310	226	501
311	226	500
312	227	499
313	228	498
314	228	496
315	229	496
316	230	495
317	230	494
318	231	493
319	231	492
320	232	491
321	232	490
322	233	489
323	233	487
324	234	486
325	234	485
326	235	484
327	235	483
328	236	482
329	237	481
330	237	480
331	238	478
332	238	477
333	239	476
334	239	475
335	240	474
336	240	473
337	241	472
338	241	471
339	242	469
340	242	468
341	243	467
342	243	466
343	244	465
344	244	464
345	245	463
346	245	462
347	246	460
348	246	459
349	246	458
350	247	457
351	247	456
352	248	455
353	248	454
354	249	452
355	249	451
356	250	450
357	250	449
358	251	448
359	251	447
360	252	446
361	252	445
362	253	444
363	253	442
364	254	441
365	254	440
366	255	439
367	255	439
368	256	438
